happy Easy Random 1.803999900817871 arnout
sad Easy Random 2.185999870300293 arnout
sad Easy Random 1.1089999675750732 arnout
sad Easy Random 2.199000120162964 arnout
happy Medium IMS 1.5989999771118164 arnout
happy Easy IMS 1.3519999980926514 arnout
sad Easy IMS 1.2649998664855957 arnout
sad Easy IMS 0.8469998836517334 arnout
angry Hard Random 1.062999963760376 arnout
angry Hard Random 0.9570000171661377 arnout
sad Hard Random 1.3870000839233398 arnout
sad Medium Random 1.440999984741211 arnout
sad Medium Random 1.8940000534057617 arnout
sad Hard IMS 1.0109999179840088 arnout
angry Hard IMS 0.8090000152587891 arnout
happy Easy Random 0.8460001945495605 hirad
happy Easy Random 1.7009999752044678 hirad
happy Easy Random 1.4059998989105225 hirad
sad Medium IMS 1.563999891281128 hirad
happy Easy IMS 1.1150000095367432 hirad
happy Hard Random 1.6029999256134033 hirad
sad Hard Random 1.0309998989105225 hirad
sad Hard Random 2.700000047683716 hirad
angry Medium Random 2.263000011444092 hirad
sad Medium Random 0.937000036239624 hirad
Happy Hard IMS 0.8240001201629639 hirad
Happy Hard IMS 1.0460000038146973 hirad
Happy Hard IMS 0.9219999313354492 hirad
happy Easy Random 1.7400000095367432 leo
sad Easy Random 1.3199999332427979 leo
sad Easy Random 1.491999864578247 leo
sad Easy Random 1.430999994277954 leo
happy Medium IMS 1.125 leo
happy Medium IMS 0.940000057220459 leo
happy Easy IMS 0.9099998474121094 leo
happy Easy IMS 1.3289999961853027 leo
happy Easy IMS 1.564000129699707 leo
happy Hard Random 1.6480000019073486 leo
sad Hard Random 1.4500000476837158 leo
sad Hard Random 0.7990000247955322 leo
happy Medium Random 1.9270000457763672 leo
happy Medium Random 1.1370000839233398 leo
happy Hard IMS 1.9040000438690186 leo
angry Hard IMS 1.0189998149871826 leo
happy Easy Random 1.3859999179840088 marcFinal
happy Easy Random 0.8220000267028809 marcFinal
sad Easy Random 1.1319999694824219 marcFinal
sad Easy Random 0.9800000190734863 marcFinal
sad Medium IMS 1.4479999542236328 marcFinal
happy Medium IMS 1.8320000171661377 marcFinal
happy Medium IMS 1.565000057220459 marcFinal
happy Easy IMS 1.500999927520752 marcFinal
happy Hard Random 0.7979998588562012 marcFinal
happy Hard Random 0.3789999485015869 marcFinal
angry Hard Random 0.6789999008178711 marcFinal
happy Medium Random 1.559999942779541 marcFinal
sad Medium Random 1.252000093460083 marcFinal
sad Easy Random 2.822000026702881 nachi
angry Easy Random 3.8919999599456787 nachi
angry Easy Random 0.8249998092651367 nachi
angry Easy Random 1.1410000324249268 nachi
angry Medium IMS 1.8680000305175781 nachi
angry Medium IMS 1.061000108718872 nachi
happy Medium IMS 1.805999994277954 nachi
angry Easy IMS 0.6720001697540283 nachi
sad Easy IMS 1.5090000629425049 nachi
angry Easy IMS 1.8340001106262207 nachi
sad Easy IMS 0.6649999618530273 nachi
sad Hard Random 1.7190001010894775 nachi
angry Hard Random 0.5720000267028809 nachi
angry Hard Random 1.5230000019073486 nachi
angry Medium IMS 0.8440001010894775 nachi
happy Hard Random 2.171999931335449 nachi
sad Hard Random 1.0199999809265137 nachi
sad Hard Random 0.9309999942779541 nachi
