happy Easy Random
happy Easy Random
happy Medium IMS
happy Medium IMS
happy Medium IMS
happy Easy IMS
happy Easy IMS
sad Easy IMS
angry Hard Random
angry Hard Random
happy Medium Random
happy Medium Random
happy Hard IMS
